weekly_n,T_weeks,rho,sigma_txn,sigma_week,nonzero_weeks,pct_coverage,feasible,mde_pct,verdict
1,208,0.7,0.15,0.01,131.48107623634,0.632120558828558,FALSE,,infeasible
1,208,0.7,0.15,0.03,131.48107623634,0.632120558828558,FALSE,,infeasible
1,208,0.7,0.3,0.01,131.48107623634,0.632120558828558,FALSE,,infeasible
1,208,0.7,0.3,0.03,131.48107623634,0.632120558828558,FALSE,,infeasible
1,208,0.7,0.5,0.01,131.48107623634,0.632120558828558,FALSE,,infeasible
1,208,0.7,0.5,0.03,131.48107623634,0.632120558828558,FALSE,,infeasible
1,260,0,0.15,0.01,164.351345295425,0.632120558828558,FALSE,,infeasible
1,260,0,0.15,0.03,164.351345295425,0.632120558828558,FALSE,,infeasible
1,260,0,0.3,0.01,164.351345295425,0.632120558828558,FALSE,,infeasible
1,260,0,0.3,0.03,164.351345295425,0.632120558828558,FALSE,,infeasible
1,260,0,0.5,0.01,164.351345295425,0.632120558828558,FALSE,,infeasible
1,260,0,0.5,0.03,164.351345295425,0.632120558828558,FALSE,,infeasible
1,260,0.3,0.15,0.01,164.351345295425,0.632120558828558,FALSE,,infeasible
1,260,0.3,0.15,0.03,164.351345295425,0.632120558828558,FALSE,,infeasible
1,260,0.3,0.3,0.01,164.351345295425,0.632120558828558,FALSE,,infeasible
1,260,0.3,0.3,0.03,164.351345295425,0.632120558828558,FALSE,,infeasible
1,260,0.3,0.5,0.01,164.351345295425,0.632120558828558,FALSE,,infeasible
1,260,0.3,0.5,0.03,164.351345295425,0.632120558828558,FALSE,,infeasible
1,260,0.5,0.15,0.01,164.351345295425,0.632120558828558,FALSE,,infeasible
1,260,0.5,0.15,0.03,164.351345295425,0.632120558828558,FALSE,,infeasible
1,260,0.5,0.3,0.01,164.351345295425,0.632120558828558,FALSE,,infeasible
1,260,0.5,0.3,0.03,164.351345295425,0.632120558828558,FALSE,,infeasible
1,260,0.5,0.5,0.01,164.351345295425,0.632120558828558,FALSE,,infeasible
1,260,0.5,0.5,0.03,164.351345295425,0.632120558828558,FALSE,,infeasible
1,260,0.7,0.15,0.01,164.351345295425,0.632120558828558,FALSE,,infeasible
1,260,0.7,0.15,0.03,164.351345295425,0.632120558828558,FALSE,,infeasible
1,260,0.7,0.3,0.01,164.351345295425,0.632120558828558,FALSE,,infeasible
1,260,0.7,0.3,0.03,164.351345295425,0.632120558828558,FALSE,,infeasible
1,260,0.7,0.5,0.01,164.351345295425,0.632120558828558,FALSE,,infeasible
1,260,0.7,0.5,0.03,164.351345295425,0.632120558828558,FALSE,,infeasible
2,104,0,0.15,0.01,89.9251305433923,0.864664716763388,TRUE,6.08688301292886,marginal
2,104,0,0.15,0.03,89.9251305433923,0.864664716763388,TRUE,6.30425984464593,marginal
2,104,0,0.3,0.01,89.9251305433923,0.864664716763388,TRUE,12.5002602451654,underpowered
2,104,0,0.3,0.03,89.9251305433923,0.864664716763388,TRUE,12.6173289692561,underpowered
2,104,0,0.5,0.01,89.9251305433923,0.864664716763388,TRUE,21.6733218460745,underpowered
2,104,0,0.5,0.03,89.9251305433923,0.864664716763388,TRUE,21.7495425649585,underpowered
2,104,0.3,0.15,0.01,89.9251305433923,0.864664716763388,TRUE,8.30122239862097,marginal
2,104,0.3,0.15,0.03,89.9251305433923,0.864664716763388,TRUE,8.60082787706109,marginal
2,104,0.3,0.3,0.01,89.9251305433923,0.864664716763388,TRUE,17.2296539462314,underpowered
2,104,0.3,0.3,0.03,89.9251305433923,0.864664716763388,TRUE,17.3943234517705,underpowered
2,104,0.3,0.5,0.01,89.9251305433923,0.864664716763388,TRUE,30.3109172818912,underpowered
2,104,0.3,0.5,0.03,89.9251305433923,0.864664716763388,TRUE,30.4211004843452,underpowered
2,104,0.5,0.15,0.01,89.9251305433923,0.864664716763388,TRUE,10.5555370897914,underpowered
2,104,0.5,0.15,0.03,89.9251305433923,0.864664716763388,TRUE,10.9405271643102,underpowered
2,104,0.5,0.3,0.01,89.9251305433923,0.864664716763388,TRUE,22.1441139306154,underpowered
2,104,0.5,0.3,0.03,89.9251305433923,0.864664716763388,TRUE,22.3600497025038,underpowered
2,104,0.5,0.5,0.01,89.9251305433923,0.864664716763388,TRUE,39.5355292704695,underpowered
2,104,0.5,0.5,0.03,89.9251305433923,0.864664716763388,TRUE,39.68400805397,underpowered
2,104,0.7,0.15,0.01,89.9251305433923,0.864664716763388,TRUE,14.4497944033481,underpowered
2,104,0.7,0.15,0.03,89.9251305433923,0.864664716763388,TRUE,14.9861605272154,underpowered
2,104,0.7,0.3,0.01,89.9251305433923,0.864664716763388,TRUE,30.8705922563239,underpowered
2,104,0.7,0.3,0.03,89.9251305433923,0.864664716763388,TRUE,31.1818664951304,underpowered
2,104,0.7,0.5,0.01,89.9251305433923,0.864664716763388,TRUE,56.5303506812174,underpowered
2,104,0.7,0.5,0.03,89.9251305433923,0.864664716763388,TRUE,56.7544159480732,underpowered
2,156,0,0.15,0.01,134.887695815088,0.864664716763387,TRUE,2.98913579277362,adequate
2,156,0,0.15,0.03,134.887695815088,0.864664716763387,TRUE,3.09427224114538,adequate
2,156,0,0.3,0.01,134.887695815088,0.864664716763387,TRUE,6.04694525401857,marginal
2,156,0,0.3,0.03,134.887695815088,0.864664716763387,TRUE,6.10193801731183,marginal
2,156,0,0.5,0.01,134.887695815088,0.864664716763387,TRUE,10.2723867126418,underpowered
2,156,0,0.5,0.03,134.887695815088,0.864664716763387,TRUE,10.3068145347219,underpowered
2,156,0.3,0.15,0.01,134.887695815088,0.864664716763387,TRUE,4.06897276232061,adequate
2,156,0.3,0.15,0.03,134.887695815088,0.864664716763387,TRUE,4.21286015992137,adequate
2,156,0.3,0.3,0.01,134.887695815088,0.864664716763387,TRUE,8.27492413994815,marginal
2,156,0.3,0.3,0.03,134.887695815088,0.864664716763387,TRUE,8.35096311657995,marginal
2,156,0.3,0.5,0.01,134.887695815088,0.864664716763387,TRUE,14.1578115278036,underpowered
2,156,0.3,0.5,0.03,134.887695815088,0.864664716763387,TRUE,14.2060766644608,underpowered
2,156,0.5,0.15,0.01,134.887695815088,0.864664716763387,TRUE,5.16491476712506,marginal
2,156,0.5,0.15,0.03,134.887695815088,0.864664716763387,TRUE,5.34854223928627,marginal
2,156,0.5,0.3,0.01,134.887695815088,0.864664716763387,TRUE,10.5597346344902,underpowered
2,156,0.5,0.3,0.03,134.887695815088,0.864664716763387,TRUE,10.6577810849482,underpowered
2,156,0.5,0.5,0.01,134.887695815088,0.864664716763387,TRUE,18.1979847071583,underpowered
2,156,0.5,0.5,0.03,134.887695815088,0.864664716763387,TRUE,18.2610874962799,underpowered
2,156,0.7,0.15,0.01,134.887695815088,0.864664716763387,TRUE,7.06262797621649,marginal
2,156,0.7,0.15,0.03,134.887695815088,0.864664716763387,TRUE,7.31603610296725,marginal
2,156,0.7,0.3,0.01,134.887695815088,0.864664716763387,TRUE,14.5722993740916,underpowered
2,156,0.7,0.3,0.03,134.887695815088,0.864664716763387,TRUE,14.7100089574376,underpowered
2,156,0.7,0.5,0.01,134.887695815088,0.864664716763387,TRUE,25.428479816953,underpowered
2,156,0.7,0.5,0.03,134.887695815088,0.864664716763387,TRUE,25.5192320005539,underpowered
2,208,0,0.15,0.01,179.850261086785,0.864664716763388,TRUE,1.87723400695163,well_powered
2,208,0,0.15,0.03,179.850261086785,0.864664716763388,TRUE,1.94289337622697,well_powered
2,208,0,0.3,0.01,179.850261086785,0.864664716763388,TRUE,3.77693235762164,adequate
2,208,0,0.3,0.03,179.850261086785,0.864664716763388,TRUE,3.81091100266457,adequate
2,208,0,0.5,0.01,179.850261086785,0.864664716763388,TRUE,6.36914485562194,marginal
2,208,0,0.5,0.03,179.850261086785,0.864664716763388,TRUE,6.3901136181491,marginal
2,208,0.3,0.15,0.01,179.850261086785,0.864664716763388,TRUE,2.55459616442222,adequate
2,208,0.3,0.15,0.03,179.850261086785,0.864664716763388,TRUE,2.64425315189085,adequate
2,208,0.3,0.3,0.01,179.850261086785,0.864664716763388,TRUE,5.15689326654509,marginal
2,208,0.3,0.3,0.03,179.850261086785,0.864664716763388,TRUE,5.20359445162328,marginal
2,208,0.3,0.5,0.01,179.850261086785,0.864664716763388,TRUE,8.73526351646563,marginal
2,208,0.3,0.5,0.03,179.850261086785,0.864664716763388,TRUE,8.76433735621149,marginal
2,208,0.5,0.15,0.01,179.850261086785,0.864664716763388,TRUE,3.2418234082374,adequate
2,208,0.5,0.15,0.03,179.850261086785,0.864664716763388,TRUE,3.35599152928134,adequate
