occasion,archetype,weighted_meals,unweighted_meals,participants,top_groups,top_categories,occasion_weight,weighted_share,stratum
breakfast,eggs with bread or meat,7636469.013488,140,140,"sweet_drink, eggs, breakfast_meat, condiment_fat, eggs, bread, coffee_tea, condiment_fat, eggs, bread, eggs, condiment_fat, bread, coffee_tea","Eggs and omelets, Yeast breads, Mustard and other condiments, Bagels and English muffins, Sugars and honey, Butter and animal fats, Coffee, Eggs and omelets, Soy and meat-alternative products, Eggs and omelets, Margarine, Yeast breads, Yeast breads, Tea, Butter and animal fats, Plant-based milk, Eggs and omelets",74855190.21512,0.10201656012819148,pir_5plus
breakfast,breakfast sandwich or burrito,6128255.53673,104,104,"sandwich, coffee_tea, sandwich, condiment_fat, sandwich, condiment_fat, coffee_tea, sandwich","Egg/breakfast sandwiches, Coffee, Egg/breakfast sandwiches, Egg/breakfast sandwiches, Tap water, Egg/breakfast sandwiches, Milk, reduced fat",74855190.21512,0.08186814460184423,pir_5plus
breakfast,fruit and bread breakfast,1669505.607727,34,33,"bread, fruit, fruit, beans_nuts, bread, bread, juice_smoothie, water, breakfast_meat, bread, fruit, milk_dairy_drink","Bananas, Nuts and seeds, Bagels and English muffins, Grapes, Pancakes, waffles, French toast, Tap water, Grapes, Bacon, Citrus juice, Flavored milk, nonfat, Biscuits, muffins, quick breads, Apples, Nuts and seeds, Yeast breads, Pears",74855190.21512,0.022303137603807418,pir_5plus
breakfast,yogurt and fruit breakfast,947998.654121,25,25,"fruit, yogurt, yogurt, fruit, condiment_fat, fruit, coffee_tea, yogurt, yogurt, fruit, coffee_tea","Blueberries and other berries, Yogurt, Greek, Coffee, Yogurt, regular, Bananas, Coffee, Yogurt, regular, Blueberries and other berries, Peaches and nectarines, Flavored or carbonated water, Yogurt, regular, Strawberries, Butter and animal fats",74855190.21512,0.012664434508771225,pir_5plus
dinner,other dinner,21580051.298793,444,421,"grain_starch, sweet_baked, alcohol, meat_poultry","Pasta mixed dishes, excludes macaroni and cheese, Cakes and pies, Cookies and brownies, Chicken, whole pieces",75192067.568995,0.28699904120858893,pir_5plus
dinner,mixed entree dinner,16068610.930053,284,280,"mixed_main, mixed_main, water, water, mixed_main, cheese, grain_starch","Meat mixed dishes, Fried rice and lo/chow mein, Cheese, Pasta mixed dishes, excludes macaroni and cheese, Pasta mixed dishes, excludes macaroni and cheese, Cheese",75192067.568995,0.21370087895652964,pir_5plus
dinner,sandwich dinner,9593746.554971,167,167,"sandwich, sandwich, condiment_fat, sandwich, condiment_fat, vegetables, vegetables, condiment_fat, grain_starch, sandwich","Egg/breakfast sandwiches, Meat and BBQ sandwiches, Seafood sandwiches, Mayonnaise, Other fruit juice, Not included in a food category, French fries and other fried white potatoes, Mustard and other condiments, Tomato-based condiments, Beer",75192067.568995,0.12758987570288496,pir_5plus
dinner,protein vegetable starch dinner,8675329.91195,183,183,"vegetables, grain_starch, meat_poultry, meat_poultry, vegetables, grain_starch, seafood, vegetables, water, grain_starch, grain_starch, condiment_fat, vegetables, meat_poultry","Not included in a food category, Mashed potatoes and white potato mixtures, Wine, Other vegetables and combinations, Shellfish, Tomato-based condiments, Butter and animal fats, Beer, Bottled water, Shellfish, Pasta, noodles, cooked grains, Candy containing chocolate, Beer, String beans, Chicken, whole pieces, Chicken, whole pieces, Broccoli, Pasta mixed dishes, excludes macaroni and cheese, Tomato-based condiments, Butter and animal fats",75192067.568995,0.1153756000124569,pir_5plus
dinner,protein and starch dinner,5492724.802415,102,102,"grain_starch, meat_poultry, water, grain_starch, meat_poultry, seafood, grain_starch, grain_starch, meat_poultry, sweet_drink, condiment_fat","Rice, Beans, peas, legumes, Rice, Chicken, whole pieces, Tortilla, corn, other chips, Cheese, Rice mixed dishes, Beans, peas, legumes, Dips, gravies, other sauces, Beans, peas, legumes, Fruit drinks, Rice",75192067.568995,0.07304925878484411,pir_5plus
dinner,soup dinner,5162372.621803,103,102,"soup, soup, bread, alcohol, soup, salty_snack, soup, water","Soups, broth-based, Soups, broth-based, Cookies and brownies, Salad dressings and vegetable oils, Yogurt, Greek, Seafood mixed dishes, Other dark green vegetables, Wine, Rice, Soups, broth-based",75192067.568995,0.06865581421957964,pir_5plus
dinner,pizza dinner,4618974.36147,82,82,"pizza, pizza, sweet_drink, water, pizza, pizza, water","Pizza, Tap water, Pizza, Beer, Pizza, Diet soft drinks, Pizza",75192067.568995,0.0614290112082861,pir_5plus
