basename,rows_in_parquet,total_rows,total_issues,issue_rate,severity_band,top_failure_mode,top_failure_count,fails_qaqc_gate,blank_name,unknown_name,short_name,unit_only_name,size_code_name,garbage_exact,garbage_substring,page_dump,price_in_name,location_as_name,zero_negative_price,non_numeric_price,bad_timestamp,non_wayback_url,non_store_specific,duplicates,missing_columns,read_error
gelsons_prices.csv,2912,3607,3681,1.0205,moderate,non_store_specific,3607,True,0,0,0,0,0,0,0,0,60,0,14,0,0,0,3607,0,0,0
jons_market_prices.csv,2202,3557,6427,1.8069,moderate,non_store_specific,3557,True,285,30,77,0,0,0,0,966,950,0,0,369,0,0,3557,193,0,0
shoprite_rsid_116_prices.csv,2096,2106,155,0.0736,minor,duplicates,145,True,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,145,0,0
balduccis_prices.csv,2026,2459,3995,1.6246,moderate,non_store_specific,2459,True,0,0,193,0,95,0,230,0,908,0,1,0,0,0,2459,109,0,0
josephs_classic_market_prices.csv,2012,2845,3441,1.2095,moderate,non_store_specific,2845,True,0,0,0,0,0,0,0,0,446,0,6,0,0,0,2845,144,0,0
freshop_king_food_saver_prices.csv,1855,1855,22,0.0119,trace,duplicates,22,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
s_clyde_weaver_prices.csv,1835,1889,2047,1.0836,moderate,non_store_specific,1889,True,0,0,50,0,0,0,0,0,42,0,37,0,0,0,1889,29,0,0
olivers_market_prices.csv,1672,2692,3950,1.4673,moderate,non_store_specific,2647,True,118,558,123,0,0,1,34,193,0,0,12,0,0,0,2647,264,0,0
nugget_market_prices.csv,1646,1664,1827,1.098,moderate,non_store_specific,1664,True,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1664,145,0,0
el_rey_prices.csv,1635,1679,1745,1.0393,moderate,non_store_specific,1679,True,0,0,20,0,0,0,0,26,0,0,0,4,0,0,1679,16,0,0
karns_prices.csv,1592,1624,353,0.2174,minor,short_name,288,True,0,0,288,1,0,64,0,0,0,0,0,0,0,0,0,0,0,0
mercato_all_prices.csv,1543,1547,69,0.0446,trace,duplicates,47,True,0,0,7,4,0,0,0,0,6,0,0,5,0,0,0,47,0,0
coronado_prime_meats_prices.csv,1138,1242,18,0.0145,trace,location_as_name,18,True,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
el_mezquite_market_prices.csv,1066,2887,5940,2.0575,moderate,non_store_specific,2887,True,0,0,22,0,0,0,0,1696,1221,0,0,2,0,0,2887,112,0,0
bristol_farms_prices.csv,1002,1052,1372,1.3042,moderate,non_store_specific,1047,True,3,0,83,1,0,24,0,0,119,0,0,0,0,0,1047,95,0,0
produce_junction_prices.csv,906,967,1102,1.1396,moderate,non_store_specific,967,True,0,0,68,0,0,0,0,0,0,0,0,0,0,0,967,67,0,0
ideal_market_prices.csv,770,770,770,1.0,minor,non_store_specific,770,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,770,0,0,0
adams_fairacre_farms_prices.csv,758,766,870,1.1358,minor,non_store_specific,766,True,0,0,0,0,0,0,0,0,2,0,0,0,0,0,766,102,0,0
freshop_superlo_prices.csv,756,758,8,0.0106,trace,duplicates,6,True,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0
la_carreta_market_prices.csv,752,752,30,0.0399,trace,location_as_name,30,True,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0
shoprite_rsid_500_prices.csv,728,1370,1349,0.9847,moderate,duplicates,707,True,0,0,0,0,0,0,0,642,0,0,0,0,0,0,0,707,0,0
el_bodegon_prices.csv,717,2030,4294,2.1153,moderate,non_store_specific,2030,True,213,0,0,0,0,0,0,1097,954,0,0,0,0,0,2030,0,0,0
lunds_byerlys_prices.csv,714,1070,1185,1.1075,moderate,non_store_specific,687,True,0,0,50,0,0,23,0,6,409,0,0,0,0,0,687,10,0,0
baja_ranch_market_prices.csv,665,768,1096,1.4271,moderate,non_store_specific,768,True,2,0,1,0,0,0,0,0,0,0,0,297,0,0,768,28,0,0
shoprite_rsid_817_prices.csv,574,680,455,0.6691,minor,duplicates,349,True,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,349,0,0
cardenas_markets_prices.csv,509,1771,3543,2.0006,moderate,non_store_specific,1771,True,1158,22,8,0,0,0,1,0,0,0,3,247,0,0,1771,333,0,0
whole_foods_prices.csv,466,539,429,0.7959,minor,price_in_name,303,True,8,0,14,6,0,0,0,41,303,0,7,0,0,0,0,50,0,0
bloomingfoods_prices.csv,431,2187,767,0.3507,minor,duplicates,767,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,767,0,0
sweet1_bakery_prices.csv,430,430,15,0.0349,trace,short_name,15,True,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hays_prices.csv,425,457,637,1.3939,minor,non_store_specific,457,True,0,0,2,0,0,0,0,0,0,0,0,178,0,0,457,0,0,0
shoprite_rsid_160_prices.csv,387,391,195,0.4987,minor,duplicates,193,True,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,193,0,0
akins_foods_prices.csv,379,379,408,1.0765,minor,non_wayback_url,379,True,0,0,0,0,0,0,0,0,0,0,0,0,0,379,0,29,0,0
produce_junction_chi_prices.csv,358,358,40,0.1117,trace,short_name,40,True,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
produce_junction_hatboro_prices.csv,358,358,40,0.1117,trace,short_name,40,True,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shoprite_rsid_112_prices.csv,326,326,164,0.5031,minor,duplicates,164,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0
stater_bros_prices.csv,267,267,267,1.0,minor,non_store_specific,267,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,0,0,0
lowes_market_prices.csv,257,259,6,0.0232,trace,price_in_name,5,True,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0
town_country_market_prices.csv,231,486,1070,2.2016,moderate,non_store_specific,486,True,40,0,13,0,0,0,94,200,155,0,7,67,0,0,486,8,0,0
cosentinos_price_chopper_prices.csv,224,399,447,1.1203,minor,non_store_specific,304,True,127,0,4,0,0,0,0,0,0,0,4,0,0,0,304,8,0,0
joe_vs_smart_shop_prices.csv,198,734,1429,1.9469,moderate,non_store_specific,509,True,385,0,0,0,0,0,0,151,315,0,0,0,0,0,509,69,0,0
harps_food_store_prices.csv,164,168,4,0.0238,trace,blank_name,4,True,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shoprite_rsid_139_prices.csv,154,154,77,0.5,trace,duplicates,77,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0
super_fresh_242_prices.csv,141,143,27,0.1888,trace,price_in_name,25,True,0,0,0,0,0,0,0,2,25,0,0,0,0,0,0,0,0,0
