timestamp,chain,location,product_name,price,unit,sale,category,year,location_type,wayback_url
2025-11-11 19:47:36,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Ground Beef,3.79,lb,False,Meat & Poultry,2025,unknown,https://web.archive.org/web/20251111194736id_/https://gfsstore.com/en-us/?dsr_id=MP149
2025-11-11 20:46:16,Striplings General Store,Chain-wide (4 stores),Peach Butter,8.99,,False,Produce,2025,chain-wide,https://web.archive.org/web/20251111204616id_/https://striplings.com/peach-preserves/
2025-11-11 20:46:37,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Salted Butter,2.99,lb,False,Dairy & Eggs,2025,unknown,https://web.archive.org/web/20251111204637id_/https://gfsstore.com/en-us/?dsr_id=MP061
2025-11-12 07:46:47,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Salted Butter,2.99,lb,False,Dairy & Eggs,2025,unknown,https://web.archive.org/web/20251112074647id_/https://gfsstore.com/en-us/?dsr_id=MP095
2025-11-12 07:50:24,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Salted Butter,2.99,lb,False,Dairy & Eggs,2025,unknown,https://web.archive.org/web/20251112075024id_/https://gfsstore.com/en-us/?dsr_id=MP019
2025-11-12 08:20:52,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Cream Cheese Loaf,7.99,lb,False,Dairy & Eggs,2025,unknown,https://web.archive.org/web/20251112082052id_/https://gfsstore.com/en-us/?dsr_id=MP048
2025-11-12 08:20:52,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,American Cheese Slices,13.99,package,False,Dairy & Eggs,2025,unknown,https://web.archive.org/web/20251112082052id_/https://gfsstore.com/en-us/?dsr_id=MP048
2025-11-12 08:20:52,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,All-Purpose Flour,19.98,case,False,Pantry & Canned,2025,unknown,https://web.archive.org/web/20251112082052id_/https://gfsstore.com/en-us/?dsr_id=MP048
2025-11-12 08:20:52,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,All-Purpose Flour,9.99,bag,False,Pantry & Canned,2025,unknown,https://web.archive.org/web/20251112082052id_/https://gfsstore.com/en-us/?dsr_id=MP048
2025-11-12 08:20:52,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Ground Beef,3.79,lb,False,Meat & Poultry,2025,unknown,https://web.archive.org/web/20251112082052id_/https://gfsstore.com/en-us/?dsr_id=MP048
2025-11-12 08:20:52,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Salted Butter,2.99,lb,False,Dairy & Eggs,2025,unknown,https://web.archive.org/web/20251112082052id_/https://gfsstore.com/en-us/?dsr_id=MP048
2025-11-12 09:03:33,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Cream Cheese Loaf,7.99,lb,False,Dairy & Eggs,2025,unknown,https://web.archive.org/web/20251112090333id_/https://gfsstore.com/en-us/?dsr_id=MP103
2025-11-12 09:03:33,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,American Cheese Slices,13.99,package,False,Dairy & Eggs,2025,unknown,https://web.archive.org/web/20251112090333id_/https://gfsstore.com/en-us/?dsr_id=MP103
2025-11-12 09:03:33,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Ground Beef,3.79,lb,False,Meat & Poultry,2025,unknown,https://web.archive.org/web/20251112090333id_/https://gfsstore.com/en-us/?dsr_id=MP103
2025-11-12 09:03:33,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Salted Butter,2.99,lb,False,Dairy & Eggs,2025,unknown,https://web.archive.org/web/20251112090333id_/https://gfsstore.com/en-us/?dsr_id=MP103
2025-11-12 09:03:33,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,All-Purpose Flour,19.98,case,False,Pantry & Canned,2025,unknown,https://web.archive.org/web/20251112090333id_/https://gfsstore.com/en-us/?dsr_id=MP103
2025-11-12 09:03:33,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,All-Purpose Flour,9.99,bag,False,Pantry & Canned,2025,unknown,https://web.archive.org/web/20251112090333id_/https://gfsstore.com/en-us/?dsr_id=MP103
2025-11-14 20:09:37,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Macaroni & Cheese,14.99,tray,False,Dairy & Eggs,2025,unknown,https://web.archive.org/web/20251114200937id_/https://www.gfsstore.com/es-us/departments/Frozen+Foods/
2025-11-14 20:09:37,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Peanut Butter Cookies,17.99,box,False,Snacks,2025,unknown,https://web.archive.org/web/20251114200937id_/https://www.gfsstore.com/es-us/departments/Frozen+Foods/
2025-11-14 20:27:50,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Original Ripple Potato Chips,5.79,bag,False,Snacks,2025,unknown,https://web.archive.org/web/20251114202750id_/https://www.gfsstore.com/es-us/departments/Pantry/
2025-11-14 20:27:50,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Sweet Barbecue Ripple Potato Chips,5.79,bag,False,Snacks,2025,unknown,https://web.archive.org/web/20251114202750id_/https://www.gfsstore.com/es-us/departments/Pantry/
2025-11-14 20:27:50,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Tomato Ketchup,3.99,bottle,False,Produce,2025,unknown,https://web.archive.org/web/20251114202750id_/https://www.gfsstore.com/es-us/departments/Pantry/
2025-11-14 20:28:33,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Coke Zero Sugar,2.99,package,False,Pantry & Canned,2025,unknown,https://web.archive.org/web/20251114202833id_/https://www.gfsstore.com/en-us/tasty-tailgating-treats/beverages-tailgating/
2025-11-14 20:32:08,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Salted Butter,2.99,lb,False,Dairy & Eggs,2025,unknown,https://web.archive.org/web/20251114203208id_/https://www.gfsstore.com/en-us/ads/
2025-11-14 20:32:08,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Cocktail Franks,18.99,package,False,Meat & Poultry,2025,unknown,https://web.archive.org/web/20251114203208id_/https://www.gfsstore.com/en-us/ads/
2025-11-14 20:41:35,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,All-Purpose Flour,9.99,bag,False,Pantry & Canned,2025,unknown,https://web.archive.org/web/20251114204135id_/https://www.gfsstore.com/es-us/
2025-11-14 20:41:35,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,All-Purpose Flour,19.98,case,False,Pantry & Canned,2025,unknown,https://web.archive.org/web/20251114204135id_/https://www.gfsstore.com/es-us/
2025-11-14 20:41:35,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,American Cheese Slices,13.99,package,False,Dairy & Eggs,2025,unknown,https://web.archive.org/web/20251114204135id_/https://www.gfsstore.com/es-us/
2025-11-14 20:41:35,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Cream Cheese Loaf,7.99,lb,False,Dairy & Eggs,2025,unknown,https://web.archive.org/web/20251114204135id_/https://www.gfsstore.com/es-us/
2025-11-14 20:41:35,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Salted Butter,2.99,lb,False,Dairy & Eggs,2025,unknown,https://web.archive.org/web/20251114204135id_/https://www.gfsstore.com/es-us/
2025-11-14 20:41:35,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Ground Beef,3.79,lb,False,Meat & Poultry,2025,unknown,https://web.archive.org/web/20251114204135id_/https://www.gfsstore.com/es-us/
